City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,Vila Velha,-20.3297,-40.2925,76.95,94,100,0.0,BR,2022-05-06 00:21:10
280,Kieta,-6.2167,155.6333,84.87,74,85,6.55,PG,2022-05-06 00:21:11
281,Tezu,27.9167,96.1667,72.21,75,4,3.15,IN,2022-05-06 00:21:11
282,Severo-Kurilsk,50.6789,156.125,36.66,82,28,5.91,RU,2022-05-06 00:20:38
283,Yokadouma,3.5167,15.05,70.05,98,100,2.13,CM,2022-05-06 00:21:12
284,Curillo,1.0333,-75.9191,70.54,99,100,1.7,CO,2022-05-06 00:21:12
285,Simga,21.6333,81.7,80.73,45,0,6.15,IN,2022-05-06 00:21:13
286,Campo Maior,-4.8278,-42.1686,75.04,88,62,3.98,BR,2022-05-06 00:21:13
287,Cherskiy,68.75,161.3,34.61,100,92,6.71,RU,2022-05-06 00:21:14
288,Gamba,-2.65,10.0,77.92,94,92,5.77,GA,2022-05-06 00:21:14
289,Erzin,36.9559,36.2,53.35,89,41,2.48,TR,2022-05-06 00:21:14
290,Ronneby,56.21,15.276,43.3,100,5,3.44,SE,2022-05-06 00:21:15
291,Avera,33.194,-82.5271,81.91,53,41,4.72,US,2022-05-06 00:21:15
